ID,RA,DEJ2000,Mass,z,SFR,NH,NH_err,OH,OH_err,,
374,334.92257,0.657046,2.17E+10,0.803154,17.688704,0.334213,0.013463,8.628897,0.010019,,
375,334.86527,0.67064,5.46E+09,0.772521,8.226594,0.119216,0.014765,8.372049,0.030216,,
377,334.9134,0.68911,1.82E+10,0.813093,6.599304,0.291547,0.028783,8.594273,0.025144,,
378,334.84664,0.689954,1.74E+10,0.813035,4.380584,0.383839,0.024016,8.663279,0.015537,,
379,334.85286,0.690581,4.38E+09,0.811832,4.705218,0.340389,0.032472,8.631912,0.024809,,
385,334.95274,0.357901,1.07E+10,0.809068,3.073662,0.333586,0.024004,8.629684,0.017967,,
389,334.67752,0.959138,1.79E+10,0.836124,10.054467,0.328554,0.023412,8.623802,0.018422,,
392,334.69145,0.942235,6.04E+09,0.901852,5.831935,0.260691,0.031265,8.568981,0.030369,,
393,334.70233,0.970463,8.97E+09,0.800439,4.325145,0.318468,0.027367,8.61742,0.02243,,
394,334.70397,0.949212,2.76E+09,0.817341,11.151654,0.142028,0.01566,8.417904,0.027397,,
395,334.70577,0.952105,1.36E+10,0.97406,15.504681,0.24543,0.013186,8.552641,0.013271,,
397,334.71061,0.986036,2.02E+10,0.81507,5.608865,0.424062,0.020558,8.687867,0.011728,,
406,335.18769,0.952247,4.62E+10,0.807909,8.285051,0.729844,0.024013,8.821877,0.008222,,
407,335.2039,0.928203,1.33E+09,0.899176,2.778525,0.274126,0.036935,8.579767,0.033832,,
414,334.93916,1.154911,3.00E+10,0.973408,22.9034,0.266181,0.009286,8.572155,0.008449,,
416,335.11229,1.092589,1.15E+10,0.818408,12.2391,0.198456,0.008934,8.499533,0.011061,,
425,332.97891,1.40825,3.00E+10,0.821539,5.905786,0.18795,0.026522,8.487034,0.035106,,
426,332.98464,1.34165,1.05E+10,0.818541,5.943438,0.223451,0.026626,8.528934,0.029232,,
427,332.98926,1.370989,9.31E+10,0.927872,20.467503,0.325787,0.01467,8.622244,0.010588,,
431,333.00058,1.412536,7.82E+09,0.855393,4.600147,0.018616,0.015842,7.945642,0.223517,,
433,333.01173,1.393974,8.34E+09,0.853701,5.074567,0.056477,0.019139,8.192872,0.112199,,
435,333.02116,1.432605,4.03E+10,0.815544,12.676394,0.403788,0.020357,8.675286,0.012656,,
438,332.93317,1.255738,2.76E+10,0.85694,16.056931,0.470713,0.024761,8.713139,0.012873,,
439,332.94008,1.268842,5.72E+10,0.844863,22.90419,0.367908,0.039351,8.652814,0.026255,,
443,332.94645,1.270844,3.03E+10,0.99394,16.442442,0.129314,0.047105,8.392023,0.127564,,
448,332.96737,1.225571,1.40E+10,0.8429,7.292426,0.223855,0.021925,8.528455,0.024359,,
459,333.2628,1.404288,3.88E+10,0.874804,24.666697,0.504376,0.009143,8.730621,0.004265,,
463,333.24155,1.464836,1.32E+10,0.826144,8.138556,0.291549,0.013733,8.594853,0.01187,,
464,333.23271,1.439974,4.46E+09,0.872788,7.011737,0.104832,0.025583,8.33838,0.063713,,
484,335.10118,1.207863,3.71E+10,0.996065,4.668196,0.353721,0.033594,8.643096,0.02319,,
