ID,z,logMstar,re_kpc,SFR_Msunyr,NIIHa,NIIHa_err
231,2.453,11.01,1.2,50.7,0.91,0.08
232,2.454,9.88,4.5,40.4,0.11,nan
233,2.46,10.29,0.9,53.3,0.19,0.03
234,2.464,10.46,5.1,48.5,0.15,nan
235,2.466,10.85,2.7,57,0.29,0.06
236,2.467,10.9,4.1,68.2,0.42,0.08
237,2.467,10.52,2,42.6,0.21,0.05
238,2.468,11.11,1.2,53,0.59,0.05
239,2.469,10.85,6,112.7,0.31,0.03
240,2.469,10.68,4.3,111.7,0.16,0.02
241,2.469,10.79,4.2,59.3,0.18,nan
242,2.478,10.17,2.9,24.7,0.19,nan
243,2.479,10.43,3.1,19.8,0.45,nan
244,2.485,11.01,9.4,83.5,0.55,0.1
245,2.513,11.12,3.2,271.5,0.51,0.07
246,2.519,11.22,6.2,131.3,0.6,0.06
247,2.524,10.22,5.4,25.7,0.39,0.11
248,2.525,11.13,3.9,18.2,0.77,0.17
249,2.526,10.4,3.6,44.2,0.18,nan
250,2.529,11.15,4.8,53,0.39,0.06
251,2.53,11.01,1,3.8,0.44,nan
252,2.53,10.88,5.1,35.4,0.5,0.06
253,2.537,10.58,3.7,22,0.33,nan
254,2.54,10.71,3.7,45.8,0.27,nan
255,2.553,10.62,6,72,0.26,nan
256,2.563,11.03,4.5,156.3,0.47,0.05
257,2.569,10.26,2.6,133.3,0.34,0.05
258,2.575,10,3.9,57.3,0.11,nan
259,2.583,10.5,3.3,61,0.19,nan
